algo,param,k,sample_size,noise_ratio,inertia,silhouette,davies_bouldin,calinski_harabasz,n_points_eval,n_clusters_eval,ARI_type,AMI_type,V_type,ARI_label,AMI_label,V_label,min_size,p1_size,n_small_lt_10,n_small_lt_50,max_size,eps,min_samples,n_clusters,ARI_type_all,AMI_type_all,V_type_all,ARI_label_all,AMI_label_all,V_label_all,ARI_type_no_noise,AMI_type_no_noise,V_type_no_noise,ARI_label_no_noise,AMI_label_no_noise,V_label_no_noise,linkage,knn_components,k_used_knn,AMI_type_comparavel,V_type_comparavel,AMI_label_comparavel,V_label_comparavel
KMeans,k=50,50.0,20000,0.0,305959.36482466216,0.5756030276754811,1.5647966366160455,915.5056961202941,20000,50,0.3170047114190984,0.637945071120176,0.6393791437886043,0.04678796678953433,0.24553390718640514,0.24599001306827056,11,20.310000000000002,0,3,2561,,,,,,,,,,,,,,,,,,,0.637945071120176,0.6393791437886043,0.24553390718640514,0.24599001306827056
DBSCAN,"eps=4.3337, min_samples=30",,20000,0.08815,,0.7154848947519962,0.5618430038347038,3298.069048174999,18237,66,,,,,,,30,31.3,0,13,2926,4.333655480626697,30.0,66.0,0.31928508888747914,0.634670144708299,0.6366296509321588,0.04695597210568724,0.23980462530651944,0.24043111410281298,0.38177373559141137,0.6858153671485995,0.6875466556753871,0.05589919572480714,0.26022076879687767,0.2608810489112697,,,,0.634670144708299,0.6366296509321588,0.23980462530651944,0.24043111410281298
Hierárquico,"linkage=ward, k=30",30.0,12000,0.0,,0.39551583330865675,1.4086734412881499,494.4215716608655,12000,30,0.38893108785103025,0.6388173944595681,0.640374332493122,0.07417670877110256,0.25879223654995587,0.2593163523837085,1,7.09,1,2,2163,,,30.0,,,,,,,,,,,,,ward,1.0,210.0,0.6388173944595681,0.640374332493122,0.25879223654995587,0.2593163523837085
