algo,param,k,sample_size,noise_ratio,inertia,silhouette,davies_bouldin,calinski_harabasz,n_points_eval,n_clusters_eval,ARI_type,AMI_type,V_type,ARI_label,AMI_label,V_label,min_size,p1_size,n_small_lt_10,n_small_lt_50,max_size
KMeans,k=2,2,20000,0.0,967563.0814539075,-0.07274644255445026,3.136470749308157,465.4087919281399,20000,2,0.07730004875531706,0.23647801206783634,0.23661129824350327,-0.09682445716530227,0.08721278935778669,0.08725945767099405,3094,3232.12,0,0,16906
KMeans,k=3,3,20000,0.0,947619.2024509526,0.0724649093790395,4.203385756432178,438.39813837340165,20000,3,0.05288063095923833,0.21929191431017017,0.2195352766728514,0.01616053967201491,0.007089959757845999,0.007166941964688086,1827,1858.24,0,0,14784
KMeans,k=4,4,20000,0.0,926697.1535352285,0.0906428687219995,3.48564454427179,449.35868325705843,20000,4,0.04614935910495153,0.2331894254221658,0.23353713374818358,0.07207008542610814,0.052159172125876466,0.05226106131718302,460,500.89,0,0,14269
KMeans,k=5,5,20000,0.0,915827.6849227757,0.06252482515641221,2.7738480982677878,398.9499611865229,20000,5,0.04982765343153156,0.2507699546481352,0.2512312721568179,0.018435372444455183,0.05884379886843869,0.058982840383809805,348,349.28,0,0,15310
KMeans,k=6,6,20000,0.0,893834.959560512,-0.002421029345861521,2.623505310703618,425.2448513330788,20000,6,0.07119419519345996,0.3424710058987513,0.34294038485140355,0.0815346727901667,0.0795161622658753,0.07966200342962965,235,257.65,0,0,13884
KMeans,k=7,7,20000,0.0,874057.5826904447,0.05530303531529821,2.914253961853548,440.625494419375,20000,7,0.21613527119533807,0.49599421340237065,0.4963696956964621,-0.05449737026852939,0.07730391128750141,0.07743974864391878,973,975.1,0,0,10569
KMeans,k=8,8,20000,0.0,844617.6509193792,0.07776195505699253,2.5513004995819113,488.0463849121161,20000,8,0.1384344901226242,0.44313609018401456,0.44361425205389615,0.06271421087307698,0.15498310174762606,0.15512459209133406,458,494.05,0,0,10529
KMeans,k=9,9,20000,0.0,839355.8312222715,0.05784214829910811,2.1180389103803345,445.62962524481793,20000,9,0.08509504189915602,0.31856167434988913,0.31932608952669345,-0.04934084440734809,0.0735986069470264,0.07382288887879057,176,178.16,0,0,14179
KMeans,k=10,10,20000,0.0,812017.4399061564,0.09987011275559779,2.185918533108172,484.0128119337021,20000,10,0.23294784522075943,0.5313153163483761,0.5318228947229918,-0.039670262315057665,0.1126953768679411,0.11287924008650126,134,137.51,0,0,10200
KMeans,k=11,11,20000,0.0,812187.9874535429,0.07930252732578809,2.2850634456931065,436.01840691187016,20000,11,0.13180101721076515,0.38154362567336525,0.38228637555413064,6.93961479539974e-05,0.11592114592203193,0.11612322705087331,134,144.1,0,0,10037
KMeans,k=12,12,20000,0.0,770703.7002572431,0.12543251295288738,2.1327306189811264,515.068991953205,20000,12,0.16212397282121652,0.44710510428342765,0.4478088612051562,-0.006118412705845089,0.09865093007063776,0.09886359594977406,173,192.25,0,0,9692
KMeans,k=13,13,20000,0.0,763540.1914185048,0.08871354120317962,2.05588339632528,493.10987380950627,20000,13,0.12780413591934386,0.4494845677303848,0.4502884229324863,0.00657658164666657,0.1152723718613303,0.11551967684962294,159,161.16,0,0,11577
KMeans,k=14,14,20000,0.0,743706.6204785502,0.17907473560286394,2.1807593256878848,509.1000236172692,20000,14,0.1849791409811556,0.4847985425783665,0.4855161318592764,0.06104375922811377,0.17895736921728142,0.17915936319963724,134,159.09,0,0,7710
KMeans,k=15,15,20000,0.0,722807.459221643,0.19576023087734853,2.185748358692484,530.5514024548837,20000,15,0.40679885104480074,0.6075458716757249,0.6081183769292743,0.014025161548760557,0.17322879977149178,0.17343839740174918,159,160.54,0,0,5684
KMeans,k=16,16,20000,0.0,718726.5939414485,0.13547383373297903,1.878422928785583,501.4971467440839,20000,16,0.19901404005074166,0.5177669405756892,0.5185573805230064,0.02142481199196695,0.13612218516069385,0.1363745177698833,134,139.85,0,0,8917
KMeans,k=17,17,20000,0.0,688572.2161191895,0.24622658459636496,1.868895854991559,546.3102892931852,20000,17,0.27878181849422,0.5701594097787386,0.5708479051694544,0.052494693485333144,0.18661616972536849,0.18683725678870136,176,191.04,0,0,6359
KMeans,k=18,18,20000,0.0,675603.1908846596,0.2512492487453218,1.7996482825817834,545.7848553504234,20000,18,0.26371387636598653,0.5744905863918834,0.5752287757160092,0.09544580512947787,0.22743086792171674,0.22766025833480222,153,155.89,0,0,6784
KMeans,k=19,19,20000,0.0,644897.7244543185,0.2828426331726323,2.188068353484604,596.4643906062823,20000,19,0.3628501303913538,0.5885838752021942,0.5892838242569581,0.04661141273312337,0.18334556470351654,0.18357451902923838,134,140.48,0,0,3180
KMeans,k=20,20,20000,0.0,638749.9625123359,0.27341298076476966,1.8913050032468033,577.2245587966435,20000,20,0.3332148333955096,0.58824567694561,0.589005496259912,0.056475533267466835,0.2190587288364086,0.2192987993219654,153,154.14,0,0,4050
KMeans,k=21,21,20000,0.0,622423.2968387462,0.2516106210719093,1.7876589791079827,589.7466344446766,20000,21,0.2534239791759805,0.5316509719018195,0.5325896209056226,0.026699392675791966,0.17571841303170965,0.175998040824158,108,113.2,0,0,6240
KMeans,k=22,22,20000,0.0,616297.5965172427,0.3060501244969803,1.6950353069824269,578.5542810313121,20000,22,0.2986252092502703,0.5757245088596469,0.5765884099570217,0.06260768304987392,0.2022983258250142,0.20256822613674696,134,142.82,0,0,5801
