algo,param,eps,min_samples,sample_size,n_clusters,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,n_points_eval,n_clusters_eval,ARI_type_all,AMI_type_all,V_type_all,ARI_label_all,AMI_label_all,V_label_all,min_size,p1_size,n_small_lt_10,n_small_lt_50,max_size,ARI_type_no_noise,AMI_type_no_noise,V_type_no_noise,ARI_label_no_noise,AMI_label_no_noise,V_label_no_noise
DBSCAN,"eps=1.5392, min_samples=10",1.5392392881434727,10,20000,169,0.09065,0.7751887905849809,0.40395251615985184,5791.076037559208,18187,169,0.22377874472766857,0.5990857696992077,0.6042161944285179,0.0298555168832234,0.2119463251116746,0.21345407008286305,6,10.0,1,103,2327,0.2708634109443661,0.64548656076185,0.650287087727366,0.03678534203075391,0.22951575132388258,0.23110729283199893
DBSCAN,"eps=2.6308, min_samples=10",2.6308112305906453,10,20000,135,0.0626,0.7627403762214932,0.41030854620560214,3313.4389806011786,18748,135,0.29701303237664844,0.6317613152082533,0.635663840618685,0.03944459264175841,0.2298203876355509,0.23105450473109682,10,10.0,0,79,2378,0.3363750906097814,0.6688367873463132,0.6724804425894636,0.04482155541687969,0.24460339501290562,0.24588682811178175
DBSCAN,"eps=3.8715, min_samples=10",3.8714843509301624,10,20000,129,0.0427,0.7264059527714429,0.48388167650030683,2238.0108585851235,19146,129,0.3169832845475103,0.6332509060766055,0.6370028122447076,0.04837810108638438,0.23780716270893115,0.23899145541849154,10,10.0,0,74,2931,0.34365885980542066,0.6594941798807248,0.6630470335295762,0.052177847428274464,0.24890807406905258,0.2501256872146196
DBSCAN,"eps=5.9200, min_samples=10",5.919970969191405,10,20000,68,0.0243,0.3612392506670241,0.6803512550108131,428.5302546175496,19514,68,-0.0070567522229553,0.29682705467012527,0.3024123170772989,0.2684668628607948,0.2321365092041472,0.23325812453222075,10,10.0,0,37,13183,-0.005813663943000067,0.3046380999815232,0.31025304196165826,0.27757379587985387,0.24415760307714207,0.2453099206695091
DBSCAN,"eps=7.1144, min_samples=10",7.114406195166468,10,20000,45,0.01505,0.2986043810430503,0.7652142435102564,347.4685941713792,19699,45,-0.028173564085322757,0.2162120619748451,0.22109055082971144,0.35977680817796903,0.2574010154322105,0.25837259205718643,10,10.44,0,22,15740,-0.026712179245230623,0.21933355949231292,0.22421249235652968,0.3653492103630738,0.26883763931617294,0.2698245039671404
DBSCAN,"eps=9.1515, min_samples=10",9.151451552820046,10,20000,18,0.00675,0.31135102664912767,0.6683139413635107,269.13676297162976,19865,18,-0.018152880806990856,0.07780586465268366,0.08083264366165051,0.17034685569018243,0.15113254354111186,0.1519526404768649,10,10.17,0,8,18649,-0.01668313091027185,0.07583762195439156,0.07875998782555967,0.16238692062584542,0.15380265497544243,0.15461635449976732
DBSCAN,"eps=2.8137, min_samples=20",2.8136705718933803,20,20000,90,0.09005,0.7579797096673685,0.4496792367390428,3693.5406925759708,18199,90,0.3066467561350979,0.6320099885936739,0.6346669163024452,0.04627000049893645,0.23511672335312891,0.23595700025779842,20,20.0,0,35,2913,0.36781719569893473,0.6857228092115121,0.6880893804333115,0.056125881747834665,0.2567287814665817,0.25761313442178896
DBSCAN,"eps=4.9560, min_samples=20",4.956015774156251,20,20000,66,0.0603,0.5696892576208871,0.739531100122314,1172.7725233086335,18794,66,0.26257660222387674,0.5612238368146555,0.5637761532110547,0.08481462718026214,0.24084378691432196,0.24154193465856066,20,20.0,0,25,4434,0.28849903355682543,0.595920210096994,0.5983141166031348,0.09417511327548227,0.25887486697205686,0.25960011334219435
DBSCAN,"eps=6.1248, min_samples=20",6.124764286643119,20,20000,40,0.0392,0.31514766970438657,0.7470250726842373,528.103294337914,19216,40,-0.012259897850006928,0.2642816883163871,0.2678938762759848,0.251411074382614,0.21666225569484196,0.2173988003865921,20,20.39,0,12,13917,-0.010229806990283448,0.274721863859309,0.27837134699598104,0.26326952253178,0.2351965255920163,0.235967950793576
DBSCAN,"eps=7.7815, min_samples=20",7.7814917198507425,20,20000,28,0.02035,0.2894444912992006,0.7986811344499197,405.30963276325014,19593,28,-0.028371338705164468,0.1745876096716968,0.17800529900754716,0.3280596219941011,0.23559286562098888,0.2363102935637935,20,22.7,0,8,16638,-0.02527301181006957,0.17655212200777673,0.1799645328171891,0.3268992827776132,0.24837443408456855,0.24911311315980209
