target,split,accuracy,balanced_accuracy,macroF1,weightedF1,MCC
cluster_kmeans30,valid,0.9821312348381752,0.836840779345506,0.8328480235790331,0.9811940506573534,0.9772905818712515
cluster_kmeans30,test,0.91442097596504,0.7679254383507487,0.764848997138049,0.9264775128165291,0.8976524821840605
type,valid,0.9907106088397136,0.847467569487342,0.8591616307757639,0.9909094780536375,0.987692859348995
type,test,0.9950837581937363,0.9460436262225163,0.9525472872166855,0.9949542951338015,0.9927788332201088
label,valid,0.999644991420626,0.999555187649052,0.9996200156877022,0.9996449683643297,0.9992401596683969
label,test,0.999544792425346,0.9991211485514766,0.9993407274218199,0.9995446922461593,0.9986817675145845
