,precision,recall,f1-score,support
0,0.9995893223819302,0.9983593109105825,0.9989739380258568,2438.0
1,0.9995321090185987,0.9998829861923707,0.999707516817783,8546.0
accuracy,0.999544792425346,0.999544792425346,0.999544792425346,0.999544792425346
macro avg,0.9995607157002644,0.9991211485514766,0.9993407274218199,10984.0
weighted avg,0.9995448080517199,0.999544792425346,0.9995446922461593,10984.0
