split,target,ARI,AMI,V
train,type,0.3750653594667557,0.63841635021224,0.6385162321037038
train,label,0.07257780953710785,0.25990873134310766,0.2599417638946198
valid,type,0.5068495422387449,0.6919887478483043,0.6927851931917773
valid,label,0.38277305428197833,0.4705679614585607,0.47084337030194656
test,type,0.5414293089423912,0.6022757042267455,0.6041404407696861
test,label,0.23274214061173246,0.3691677142055774,0.3696315377847181
